Date,Price,Open,High,Low,Volume,Change_Percent
2019-12-31,75.619,75.3575,76.905,73.8575,1535000.0,-0.5950000000000002
2020-01-01,74.9525,75.32175000000001,76.786,73.07175000000001,1397500.0,-2.0325
2020-01-02,74.286,75.286,76.667,72.286,1260000.0,-3.47
2020-01-03,78.095,75.762,78.476,74.571,2069999.9999999998,5.13
2020-01-06,78.0,77.905,78.0,75.714,990900.0,-0.12
2020-01-07,77.905,78.0,78.048,76.952,926210.0,-0.12
2020-01-08,75.714,76.286,77.524,74.667,1320000.0,-2.81
2020-01-09,75.476,74.952,76.571,74.667,1280000.0,-0.31
2020-01-10,73.381,75.286,75.286,73.286,2350000.0,-2.78
2020-01-13,73.381,75.286,75.286,73.286,2350000.0,0.0
2020-01-14,72.857,74.286,75.238,72.238,3320000.0,-0.71
2020-01-15,70.0,74.381,74.571,70.0,3850000.0,-3.92
2020-01-16,69.048,70.143,70.952,68.952,3760000.0,-1.36
2020-01-17,68.571,69.952,69.952,68.571,2910000.0,-0.69
2020-01-20,70.476,69.476,70.476,68.429,1060000.0,2.78
2020-01-21,70.429,70.762,70.762,69.143,232720.0,-0.07
2020-01-22,70.429,70.381,70.429,68.619,370950.0,0.0
2020-01-23,72.381,70.048,72.381,69.619,1260000.0,2.77
2020-01-24,73.333,72.381,73.333,71.095,764120.0,1.32
2020-01-27,72.476,71.667,73.19,71.667,334010.0,-1.17
2020-01-28,70.714,71.857,71.857,69.667,722150.0,-2.43
2020-01-29,71.429,70.143,71.429,69.048,1400000.0,1.01
2020-01-30,69.571,71.381,71.381,69.333,870040.0,-2.6
2020-01-31,66.762,69.524,69.524,66.762,3780000.0,-4.04
2020-02-03,66.19,66.81,67.619,65.238,1350000.0,-0.86
2020-02-04,66.952,68.476,68.476,66.667,1180000.0,1.15
2020-02-05,69.238,68.476,69.238,67.429,1340000.0,3.41
2020-02-06,71.19,69.238,71.19,69.095,947700.0,2.82
2020-02-07,70.381,69.619,70.476,68.619,1280000.0,-1.14
2020-02-10,68.095,70.381,70.476,67.143,1420000.0,-3.25
2020-02-11,68.476,68.381,68.571,67.143,615430.0,0.56
2020-02-12,67.619,68.476,68.476,67.619,586370.0,-1.25
2020-02-13,70.476,68.048,70.476,67.619,847680.0,4.23
2020-02-14,70.952,70.238,71.143,68.762,1940000.0,0.68
2020-02-17,70.952,70.952,71.333,69.857,1780000.0,0.0
2020-02-18,71.429,71.333,71.429,70.143,1450000.0,0.67
2020-02-19,71.905,71.429,71.905,70.429,509020.0,0.67
2020-02-20,71.429,71.905,72.524,71.429,1680000.0,-0.66
2020-02-21,72.0,71.429,72.381,71.429,733870.0,0.8
2020-02-24,70.0,69.857,70.619,69.381,653120.0,-2.78
2020-02-25,67.857,69.643,70.024,67.5,2451560.0,-4.45
2020-02-26,65.714,69.429,69.429,65.619,4250000.0,-6.12
2020-02-27,66.571,66.095,67.619,65.762,2240000.0,1.3
2020-02-28,64.286,65.714,65.714,62.857,3510000.0,-3.43
2020-03-02,63.333,63.238,65.238,62.857,3150000.0,-1.48
2020-03-03,64.952,64.667,65.81,63.905,1910000.0,2.56
2020-03-04,67.619,63.857,67.619,62.476,2009999.9999999998,4.11
2020-03-05,67.857,66.619,67.857,65.81,819660.0,0.35
2020-03-06,67.286,67.857,67.857,65.952,1240000.0,-0.84
2020-03-09,60.19,62.952,64.762,60.0,2240000.0,-10.54
2020-03-10,58.095,59.429,59.429,56.476,2870000.0,-3.48
2020-03-11,59.857,59.048,60.19,59.0,2170000.0,3.03
2020-03-12,51.095,58.667,58.667,49.905,2420000.0,-14.64
2020-03-13,51.619,48.048,52.095,40.0,6400000.0,1.03
2020-03-16,48.19,45.714,51.619,44.0,1840000.0,-6.64
2020-03-17,48.19,45.714,51.619,44.0,1840000.0,0.0
2020-03-18,45.2615,43.8095,47.238,35.3335,2840000.0,-6.075
2020-03-19,42.333,41.905,42.857,26.667,3840000.0,-12.15
2020-03-20,41.286,43.81,46.571,40.952,2380000.0,-2.47
2020-03-23,42.857,40.0,42.857,36.667,2470000.0,3.81
2020-03-24,43.524,42.857,45.619,41.0,2330000.0,1.56
2020-03-25,46.667,45.905,48.571,43.857,2440000.0,7.22
2020-03-26,51.19,48.571,51.429,47.19,2040000.0,9.69
2020-03-27,48.762,51.238,55.143,47.905,1770000.0,-4.74
2020-03-30,47.143,48.571,50.19,43.952,2009999.9999999998,-3.32
2020-03-31,49.81,47.476,50.048,47.476,3500000.0,5.66
2020-04-01,53.333,50.952,53.333,49.905,3250000.0,7.07
2020-04-02,50.476,51.429,51.429,49.048,4440000.0,-5.36
2020-04-03,50.667,51.048,51.429,50.381,749850.0,0.38
2020-04-06,52.381,50.857,52.381,49.571,1010000.0,3.38
2020-04-07,53.81,53.143,53.81,52.429,2260000.0,2.73
2020-04-08,51.905,52.524,53.333,51.19,3820000.0,-3.54
2020-04-09,51.651,52.159,53.14266666666666,51.01566666666667,3170000.0,-2.85
2020-04-10,51.397,51.794000000000004,52.952333333333335,50.84133333333333,2520000.0,-2.16
2020-04-13,51.143,51.429,52.762,50.667,1870000.0,-1.47
2020-04-14,52.381,52.048,53.238,50.952,2660000.0,2.42
2020-04-15,54.286,52.381,54.762,52.381,4030000.0000000005,3.64
2020-04-16,49.524,54.19,54.19,49.524,4400000.0,-8.77
2020-04-17,51.238,50.667,51.952,50.667,3680000.0,3.46
2020-04-20,50.762,51.286,51.905,50.762,1450000.0,-0.93
2020-04-21,47.619,50.571,50.571,47.048,1750000.0,-6.19
2020-04-22,48.476,47.095,49.095,46.714,1640000.0,1.8
2020-04-23,48.19,49.143,49.524,47.857,612220.0,-0.59
2020-04-24,46.667,48.19,49.048,45.714,1710000.0,-3.16
2020-04-27,47.619,46.667,48.095,46.19,1390000.0,2.04
2020-04-28,48.19,47.619,49.476,47.381,989530.0,1.2
2020-04-29,48.524,48.19,49.238,47.857,1080000.0,0.69
2020-04-30,48.476,48.571,49.333,48.381,3150000.0,-0.1
2020-05-01,47.8095,48.0,48.381,47.2855,2225000.0,-1.425
2020-05-04,47.143,47.429,47.429,46.19,1300000.0,-2.75
2020-05-05,47.619,47.143,47.762,46.857,786770.0,1.01
2020-05-06,47.048,47.619,48.0,46.238,2089999.9999999998,-1.2
2020-05-07,46.905,46.381,47.571,46.381,2280000.0,-0.3
2020-05-08,46.905,47.238,47.286,46.619,1580000.0,0.0
2020-05-11,46.476,47.286,47.286,46.429,1560000.0,-0.91
2020-05-12,46.476,46.667,47.048,46.333,2110000.0,0.0
2020-05-13,46.095,46.476,47.048,45.81,2280000.0,-0.82
2020-05-14,46.667,45.714,46.905,45.238,1380000.0,1.24
2020-05-15,44.762,46.667,46.667,44.762,1830000.0,-4.08
2020-05-18,43.048,44.762,44.762,42.381,2000000.0,-3.83
2020-05-19,45.524,43.81,45.524,43.048,2300000.0,5.75
2020-05-20,46.286,45.524,47.048,44.0,791810.0,1.67
2020-05-21,46.286,46.286,46.762,45.286,2110000.0,0.0
2020-05-22,46.762,45.524,47.0,45.381,1400000.0,1.03
2020-05-25,46.619,46.0955,46.8335,44.357,1102520.0,0.20999999999999996
2020-05-26,46.476,46.667,46.667,43.333,805040.0,-0.61
