"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2015","93.00","92.50","93.60","90.70","10.76M","0.00%"
"04/29/2015","93.00","93.95","94.50","92.00","8.94M","-1.85%"
"04/28/2015","94.75","96.95","97.00","94.05","8.13M","-1.61%"
"04/27/2015","96.30","98.00","98.00","95.75","4.05M","-0.93%"
"04/24/2015","97.20","97.90","97.90","96.50","5.77M","0.21%"
"04/23/2015","97.00","98.50","98.50","96.85","4.44M","-2.02%"
"04/22/2015","99.00","96.75","99.00","96.25","2.18M","1.96%"
"04/21/2015","97.10","97.20","97.50","96.50","3.10M","-0.10%"
"04/20/2015","97.20","96.00","97.20","95.00","7.41M","1.04%"
"04/17/2015","96.20","96.80","96.90","95.60","9.74M","-0.62%"
"04/16/2015","96.80","96.90","97.50","95.50","6.34M","-0.41%"
"04/15/2015","97.20","99.15","99.15","95.80","6.29M","-1.82%"
"04/14/2015","99.00","98.85","99.20","98.65","4.52M","0.15%"
"04/13/2015","98.85","99.50","99.50","98.25","4.64M","-0.65%"
"04/10/2015","99.50","97.90","99.95","97.55","6.08M","1.63%"
"04/08/2015","97.90","98.95","98.95","97.50","3.06M","-1.11%"
"04/07/2015","99.00","99.25","100.00","97.55","3.12M","-0.80%"
"04/06/2015","99.80","99.00","100.00","98.55","3.76M","0.81%"
"04/01/2015","99.00","98.00","99.40","98.00","3.98M","1.49%"
"03/31/2015","97.55","98.40","98.55","97.35","5.06M","-0.46%"
"03/30/2015","98.00","98.10","98.80","98.00","6.39M","0.72%"
"03/27/2015","97.30","95.20","97.50","95.20","4.38M","-0.31%"
"03/26/2015","97.60","97.20","97.75","97.10","4.22M","0.62%"
"03/25/2015","97.00","96.00","97.05","96.00","5.44M","0.67%"
"03/24/2015","96.35","95.55","96.70","95.55","5.61M","0.84%"
"03/23/2015","95.55","95.00","95.80","94.15","6.90M","0.42%"
"03/20/2015","95.15","93.55","95.15","92.50","2.81M","1.66%"
"03/19/2015","93.60","92.85","93.80","92.45","4.49M","0.75%"
"03/18/2015","92.90","92.00","92.90","91.75","4.80M","0.43%"
"03/17/2015","92.50","92.70","93.00","91.60","3.39M","-0.22%"
"03/16/2015","92.70","92.25","92.85","91.80","3.14M","0.22%"
"03/13/2015","92.50","92.10","92.90","92.10","4.84M","1.29%"
"03/12/2015","91.32","91.03","91.52","91.03","9.14M","0.32%"
"03/11/2015","91.03","91.27","91.32","90.94","4.81M","-0.26%"
"03/10/2015","91.27","91.08","91.66","90.94","10.79M","0.26%"
"03/09/2015","91.03","91.66","91.71","90.69","9.06M","-0.69%"
"03/06/2015","91.66","89.92","91.66","89.92","2.76M","2.71%"
"03/05/2015","89.24","91.18","91.66","89.24","1.74M","-2.13%"
"03/04/2015","91.18","91.03","91.95","90.89","1.33M","0.16%"
"03/03/2015","91.03","90.69","91.86","90.64","3.36M","0.26%"
"03/02/2015","90.79","90.21","91.18","90.16","2.82M","1.14%"
"02/27/2015","89.77","91.95","92.15","89.29","2.51M","-1.91%"
"02/26/2015","91.52","92.29","92.34","91.18","2.20M","-0.83%"
"02/25/2015","92.29","91.90","92.78","91.90","1.05M","0.47%"
"02/24/2015","91.86","92.73","93.60","91.86","1.75M","-0.99%"
"02/23/2015","92.78","92.15","93.12","92.15","1.62M","1.00%"
"02/20/2015","91.86","92.15","92.20","91.57","2.38M","-0.41%"
"02/18/2015","92.24","92.29","93.02","91.76","783.42K","-0.05%"
"02/17/2015","92.29","93.02","93.02","92.20","1.76M","-0.78%"
"02/16/2015","93.02","91.08","93.60","91.08","3.16M","2.13%"
"02/13/2015","91.08","90.60","91.13","89.00","3.06M","2.39%"
"02/12/2015","88.95","89.24","89.24","88.56","4.15M","-0.32%"
"02/11/2015","89.24","91.18","91.27","89.24","3.05M","-2.13%"
"02/10/2015","91.18","91.71","91.76","90.69","1.29M","-0.58%"
"02/09/2015","91.71","91.90","93.21","91.66","1.44M","-0.21%"
"02/06/2015","91.90","92.44","92.44","91.37","1.95M","0.04%"
"02/05/2015","91.86","91.90","92.54","91.52","2.35M","0.00%"
"02/04/2015","91.86","90.30","93.41","90.21","4.66M","1.50%"
"02/03/2015","90.50","90.69","91.03","90.30","3.62M","-0.43%"
"02/02/2015","90.89","92.44","92.54","90.69","3.46M","-1.68%"
"01/30/2015","92.44","95.01","95.35","92.10","4.32M","-2.70%"
"01/29/2015","95.01","95.01","96.12","94.57","2.96M","-0.05%"
"01/28/2015","95.06","96.03","96.03","94.28","3.40M","-0.50%"
"01/27/2015","95.54","92.20","96.17","92.10","5.78M","3.58%"
"01/26/2015","92.24","90.60","92.39","90.60","2.30M","1.98%"
"01/23/2015","90.45","87.25","90.45","87.20","6.63M","3.61%"
"01/22/2015","87.30","89.72","89.72","86.33","9.42M","-2.86%"
"01/21/2015","89.87","88.27","90.60","88.27","8.21M","1.93%"
"01/20/2015","88.17","88.27","88.46","87.69","8.95M","-0.55%"
"01/19/2015","88.66","87.30","88.66","87.30","8.53M","2.24%"
"01/14/2015","86.72","86.33","87.39","86.33","7.08M","1.03%"
"01/13/2015","85.84","85.36","86.18","85.31","3.23M","0.56%"
"01/12/2015","85.36","85.84","85.84","84.87","5.72M","-0.56%"
"01/09/2015","85.84","84.53","86.42","84.53","8.15M","1.61%"
"01/08/2015","84.48","82.54","84.68","82.54","8.75M","2.46%"
"01/07/2015","82.45","81.48","82.64","81.38","4.25M","1.19%"
"01/06/2015","81.48","80.99","81.91","80.56","2.91M","0.00%"
"01/05/2015","81.48","80.51","82.93","80.46","3.75M","1.20%"
"12/29/2014","80.51","80.17","80.60","80.17","3.89M","1.22%"
"12/23/2014","79.54","78.81","79.73","78.57","1.36M","0.00%"
"12/22/2014","79.54","78.76","79.54","78.52","964.93K","1.23%"
"12/19/2014","78.57","77.65","78.57","77.36","4.21M","1.89%"
"12/18/2014","77.11","77.99","78.28","76.63","3.63M","1.92%"
"12/17/2014","75.66","79.05","79.49","75.66","3.48M","-4.82%"
"12/16/2014","79.49","80.12","80.22","78.86","1.59M","-0.85%"
"12/15/2014","80.17","79.83","80.22","78.62","3.46M","-0.06%"
"12/12/2014","80.22","78.57","80.22","78.13","3.02M","2.74%"
"12/11/2014","78.08","79.54","79.54","77.60","3.05M","-2.49%"
"12/10/2014","80.07","79.93","80.22","79.59","2.82M","0.06%"
"12/09/2014","80.02","80.12","80.70","79.83","3.40M","-0.12%"
"12/05/2014","80.12","80.22","80.27","79.73","5.10M","-0.24%"
"12/04/2014","80.31","79.88","80.75","79.83","5.92M","0.24%"
"12/03/2014","80.12","79.73","80.80","79.73","3.12M","0.73%"
"12/02/2014","79.54","80.46","80.51","79.30","3.84M","-1.14%"
"12/01/2014","80.46","80.99","81.43","80.36","1.95M","-0.06%"
"11/28/2014","80.51","79.25","81.43","79.15","5.43M","1.78%"
"11/27/2014","79.10","80.99","81.48","79.10","4.05M","-2.10%"
"11/26/2014","80.80","80.99","81.14","80.65","5.36M","-0.23%"
"11/25/2014","80.99","82.50","82.84","80.60","3.62M","-1.77%"
"11/24/2014","82.45","82.84","82.84","82.45","2.44M","-0.11%"
"11/21/2014","82.54","82.45","82.64","82.25","2.59M","0.11%"
"11/20/2014","82.45","82.21","82.45","82.11","1.14M","0.24%"
"11/19/2014","82.25","82.01","82.25","81.91","847.37K","0.23%"
"11/18/2014","82.06","82.16","82.25","81.91","1.90M","-0.06%"
"11/17/2014","82.11","82.45","82.84","81.38","2.42M","-0.41%"
"11/14/2014","82.45","80.31","82.59","80.31","2.14M","3.10%"
"11/13/2014","79.97","83.42","83.42","79.83","3.09M","-4.19%"
"11/12/2014","83.47","83.42","84.10","83.32","3.29M","1.24%"
"11/11/2014","82.45","81.48","82.50","81.19","2.30M","1.80%"
"11/10/2014","80.99","81.91","81.91","80.99","678.92K","-1.18%"
"11/07/2014","81.96","82.69","82.69","81.96","256.99K","-1.00%"
"11/06/2014","82.79","81.91","83.08","81.91","1.99M","1.07%"
"11/05/2014","81.91","82.45","82.88","81.67","2.64M","-0.65%"
"11/04/2014","82.45","83.18","83.27","82.21","3.00M","-0.93%"
"11/03/2014","83.22","80.31","83.22","79.88","2.85M","4.00%"
"10/31/2014","80.02","80.41","80.41","79.63","1.49M","0.43%"
"10/30/2014","79.68","79.63","80.70","79.44","3.62M","0.24%"
"10/29/2014","79.49","79.93","79.93","79.10","1.26M","-0.06%"
"10/28/2014","79.54","79.93","79.93","79.54","1.60M","0.06%"
"10/27/2014","79.49","79.44","79.93","79.39","1.74M","0.06%"
"10/24/2014","79.44","79.54","80.41","79.44","2.41M","-0.13%"
"10/23/2014","79.54","80.22","80.46","79.54","2.70M","-0.85%"
"10/22/2014","80.22","81.19","81.19","80.02","3.34M","0.74%"
"10/21/2014","79.63","79.73","79.88","79.44","2.72M","0.11%"
"10/20/2014","79.54","81.19","81.48","79.49","4.29M","-1.97%"
"10/17/2014","81.14","80.46","81.43","80.46","2.25M","0.85%"
"10/16/2014","80.46","80.41","80.51","80.02","2.84M","-0.06%"
"10/15/2014","80.51","80.75","82.64","80.51","3.60M","-0.24%"
"10/14/2014","80.70","81.28","81.28","80.22","6.19M","-1.07%"
"10/13/2014","81.57","83.13","83.13","81.38","2.55M","-2.22%"
"10/10/2014","83.42","83.42","83.61","82.93","1.96M","0.00%"
"10/09/2014","83.42","83.42","83.66","83.32","7.24M","-0.06%"
"10/08/2014","83.47","84.15","84.15","83.32","4.18M","-1.09%"
"10/07/2014","84.39","84.39","85.31","84.10","553.03K","0.34%"
"10/03/2014","84.10","84.05","84.29","83.56","1.61M","-0.23%"
"10/02/2014","84.29","84.10","84.29","83.61","3.96M","0.12%"
"10/01/2014","84.19","84.19","84.29","84.10","4.82M","0.00%"
"09/30/2014","84.19","83.90","84.29","83.66","5.86M","0.35%"
"09/29/2014","83.90","83.71","84.68","83.42","1.32M","0.58%"
"09/26/2014","83.42","83.90","83.90","83.37","5.45M","-1.49%"
"09/25/2014","84.68","85.31","86.33","84.58","3.54M","-0.62%"
"09/24/2014","85.21","84.87","85.45","84.48","4.26M","0.16%"
"09/23/2014","85.07","84.87","85.36","84.87","2.35M","0.24%"
"09/22/2014","84.87","85.65","85.70","84.87","1.77M","-0.91%"
"09/18/2014","85.65","85.36","86.33","85.36","2.78M","0.34%"
"09/17/2014","85.36","85.65","85.94","85.16","1.80M","-0.06%"
"09/16/2014","85.41","85.36","85.45","85.16","1.50M","0.06%"
"09/15/2014","85.36","83.90","85.45","83.90","4.81M","0.18%"
"09/12/2014","85.21","84.97","85.65","84.97","1.91M","0.28%"
"09/11/2014","84.97","85.12","85.12","84.78","547.85K","0.06%"
"09/10/2014","84.92","85.70","85.84","84.48","2.17M","-0.85%"
"09/09/2014","85.65","85.84","86.04","85.31","4.13M","-0.06%"
"09/08/2014","85.70","85.55","85.79","85.26","4.46M","1.09%"
"09/05/2014","84.78","84.73","85.16","84.39","2.66M","0.12%"
"09/04/2014","84.68","84.97","85.07","84.39","8.07M","-0.34%"
"09/03/2014","84.97","84.10","85.02","84.10","3.34M","1.09%"
"09/02/2014","84.05","83.90","84.29","83.90","1.74M","0.47%"
"09/01/2014","83.66","84.39","85.12","83.66","1.00M","0.35%"
"08/29/2014","83.37","83.47","84.34","83.37","2.92M","-0.06%"
"08/28/2014","83.42","83.61","83.61","83.32","9.03M","-0.23%"
"08/27/2014","83.61","84.39","85.07","83.47","2.88M","-0.46%"
"08/26/2014","84.00","85.36","85.36","84.00","1.43M","-1.36%"
"08/22/2014","85.16","84.10","85.16","83.85","2.46M","1.50%"
"08/20/2014","83.90","85.55","86.28","83.90","4.25M","-1.38%"
"08/19/2014","85.07","84.68","85.36","84.68","3.90M","0.64%"
"08/18/2014","84.53","84.48","85.36","84.34","1.82M","0.11%"
"08/15/2014","84.44","85.36","85.36","84.19","4.44M","-0.62%"
"08/14/2014","84.97","84.39","85.41","84.39","7.34M","1.69%"
"08/13/2014","83.56","84.39","84.39","83.51","1.70M","-0.98%"
"08/12/2014","84.39","84.39","84.87","83.90","1.06M","0.00%"
"08/11/2014","84.39","83.90","84.97","83.90","1.62M","0.58%"
"08/08/2014","83.90","83.66","83.90","83.42","1.33M","0.29%"
"08/07/2014","83.66","83.47","83.90","83.42","1.45M","0.23%"
"08/06/2014","83.47","84.24","84.24","83.42","1.97M","-0.51%"
"08/05/2014","83.90","84.87","84.87","83.90","252.68K","-0.75%"
"08/04/2014","84.53","83.18","85.36","83.18","1.10M","1.62%"
"08/01/2014","83.18","82.93","83.37","82.50","7.06M","-0.29%"
"07/31/2014","83.42","83.13","83.71","82.93","3.91M","0.82%"
"07/30/2014","82.74","83.56","83.71","82.45","9.57M","-0.41%"
"07/28/2014","83.08","83.66","83.76","82.74","3.30M","-0.75%"
"07/25/2014","83.71","84.68","84.68","83.37","10.11M","-1.15%"
"07/24/2014","84.68","85.65","85.75","84.68","7.32M","-1.35%"
"07/23/2014","85.84","87.10","87.10","85.16","4.53M","-1.45%"
"07/22/2014","87.10","86.33","87.20","86.33","2.42M","0.00%"
"07/21/2014","87.10","87.30","87.30","85.36","2.24M","-0.23%"
"07/18/2014","87.30","87.25","87.44","86.76","2.17M","-0.22%"
"07/17/2014","87.49","86.52","87.88","86.52","2.08M","1.12%"
"07/15/2014","86.52","86.09","86.76","86.09","1.34M","0.50%"
"07/14/2014","86.09","86.72","86.72","85.36","1.24M","-0.83%"
"07/11/2014","86.81","86.42","87.10","86.38","3.58M","-0.66%"
"07/10/2014","87.39","87.20","87.49","86.09","2.94M","0.10%"
"07/09/2014","87.30","87.30","87.30","85.36","1.76M","-0.39%"
"07/08/2014","87.64","88.27","88.27","87.25","3.28M","-0.39%"
"07/07/2014","87.98","87.30","88.27","87.20","3.86M","0.78%"
"07/04/2014","87.30","86.81","87.59","86.81","5.01M","0.45%"
"07/03/2014","86.91","85.16","87.15","85.16","3.51M","1.47%"
"07/02/2014","85.65","85.36","85.99","85.16","3.45M","0.92%"
"07/01/2014","84.87","84.78","85.75","84.78","1.99M","0.11%"
"06/30/2014","84.78","86.33","86.33","84.78","3.02M","-1.80%"
"06/27/2014","86.33","86.33","86.47","85.45","1.60M","-0.22%"
"06/26/2014","86.52","86.67","86.67","85.45","2.27M","-0.28%"
"06/25/2014","86.76","84.78","87.01","84.68","9.38M","2.87%"
"06/24/2014","84.34","84.19","84.48","83.95","6.74M","0.29%"
"06/23/2014","84.10","83.42","84.15","83.37","2.69M","0.82%"
"06/20/2014","83.42","82.11","83.85","82.11","5.05M","1.89%"
"06/19/2014","81.87","82.30","82.30","81.57","1.47M","-0.52%"
"06/18/2014","82.30","81.48","82.45","81.48","2.63M","0.94%"
"06/17/2014","81.53","82.45","82.54","81.48","3.18M","-1.12%"
"06/16/2014","82.45","82.45","82.98","82.11","2.99M","-0.17%"
"06/13/2014","82.59","83.13","83.13","81.96","2.33M","-0.82%"
"06/11/2014","83.27","81.96","83.81","81.87","5.66M","0.52%"
"06/10/2014","82.84","82.84","82.93","81.87","2.27M","0.12%"
"06/09/2014","82.74","82.93","83.13","82.64","1.01M","0.12%"
"06/06/2014","82.64","82.84","83.08","82.64","1.82M","-0.24%"
"06/05/2014","82.84","83.08","83.08","82.54","2.08M","-0.29%"
"06/04/2014","83.08","83.08","83.13","82.40","4.38M","0.00%"
"06/03/2014","83.08","82.69","83.27","82.50","4.73M","0.65%"
"06/02/2014","82.54","81.48","83.03","81.48","1.78M","1.91%"
"05/30/2014","80.99","81.38","82.45","80.99","4.38M","0.00%"
"05/29/2014","80.99","83.32","83.32","80.99","9.18M","-2.97%"
"05/28/2014","83.47","83.90","83.95","83.03","2.73M","-0.51%"
"05/27/2014","83.90","83.42","84.19","83.42","1.03M","0.58%"
"05/26/2014","83.42","84.19","84.19","83.08","13.19M","-1.03%"
"05/23/2014","84.29","84.39","84.39","83.47","4.51M","-0.12%"
"05/22/2014","84.39","83.42","84.48","83.42","3.08M","1.16%"
"05/21/2014","83.42","86.81","86.81","83.32","9.82M","-3.91%"
"05/20/2014","86.81","85.94","87.30","85.36","7.23M","1.13%"
"05/19/2014","85.84","84.39","85.84","83.90","6.31M","1.96%"
"05/16/2014","84.19","83.42","84.19","83.22","3.34M","0.75%"
"05/15/2014","83.56","83.42","83.85","83.42","3.88M","0.17%"
"05/14/2014","83.42","83.51","83.51","82.93","10.10M","0.00%"
"05/13/2014","83.42","83.42","84.00","83.37","5.54M","0.06%"
"05/12/2014","83.37","84.39","84.39","83.13","4.10M","-0.93%"
"05/09/2014","84.15","84.00","84.24","83.37","2.49M","0.94%"
"05/08/2014","83.37","83.42","84.19","83.03","1.59M","-0.06%"
